"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","FOURAGE","COMBARNOUS","AYRAULT","BREUS","BLINEAU","JOZAN","DEFRANCE"
" 0910 - Bureau de vote 0910","774","7","448","12","436","18","3","303","4","17","80","11"
" 0911 - Bureau de vote 0911","927","10","494","2","492","16","4","302","10","15","140","5"
" 0912 - Bureau de vote 0912","773","2","411","15","396","13","8","265","2","19","83","6"
" 0913 - Bureau de vote 0913","959","10","578","17","561","23","6","382","1","43","96","10"
" 0914 - Bureau de vote 0914","895","8","580","15","565","28","5","340","9","34","135","14"
" 0915 - Bureau de vote 0915","825","6","484","8","476","29","3","309","8","15","82","30"
" 0916 - Bureau de vote 0916","993","19","690","14","676","22","5","409","8","50","177","5"
" 0917 - Bureau de vote 0917","734","6","487","16","471","21","10","284","6","27","106","17"
" 0918 - Bureau de vote 0918","1118","8","624","9","615","22","7","383","5","26","161","11"
" 0919 - Bureau de vote 0919","863","22","541","2","539","18","13","348","4","23","124","9"
" 0920 - Bureau de vote 0920","748","7","453","6","447","19","5","334","4","17","57","11"
" 0921 - Bureau de vote 0921","995","13","614","12","602","30","5","379","10","29","140","9"
" 0922 - Bureau de vote 0922","1202","15","765","20","745","19","9","449","9","49","193","17"
" 0923 - Bureau de vote 0923","801","6","465","7","458","16","1","280","3","35","112","11"
" 0924 - Bureau de vote 0924","552","3","290","4","286","5","0","193","1","20","63","4"
" 1001 - Bureau de vote 1001","898","5","452","10","442","19","7","290","3","19","97","7"
" 1002 - Bureau de vote 1002","843","2","470","7","463","16","8","267","3","37","123","9"
" 1003 - Bureau de vote 1003","891","2","397","10","387","13","5","297","6","12","44","10"
" 1004 - Bureau de vote 1004","900","6","474","6","468","24","6","287","7","36","100","8"
" 1005 - Bureau de vote 1005","783","11","434","9","425","14","6","282","6","26","84","7"
" 1006 - Bureau de vote 1006","698","4","395","8","387","10","5","254","0","18","92","8"
" 1007 - Bureau de vote 1007","774","6","401","8","393","8","11","236","1","28","106","3"
" 1008 - Bureau de vote 1008","688","7","402","8","394","12","5","247","2","11","108","9"
" 1009 - Bureau de vote 1009","530","4","285","8","277","14","8","175","2","21","55","2"
" 1101 - Bureau de vote 1101","688","8","377","3","374","9","8","273","3","9","66","6"
" 1102 - Bureau de vote 1102","943","8","473","7","466","16","3","331","1","28","78","9"
" 1103 - Bureau de vote 1103","809","8","497","8","489","25","8","274","9","30","140","3"
" 1104 - Bureau de vote 1104","774","11","501","13","488","24","8","272","4","43","127","10"
" 1105 - Bureau de vote 1105","677","9","409","11","398","6","7","195","4","23","156","7"
" 1106 - Bureau de vote 1106","672","11","413","7","406","13","6","206","1","29","146","5"
" 1107 - Bureau de vote 1107","732","2","456","4","452","22","8","284","1","30","103","4"
" 1108 - Bureau de vote 1108","741","1","240","3","237","6","1","202","1","6","17","4"
" 1109 - Bureau de vote 1109","556","4","238","2","236","10","4","156","1","13","44","8"
" 1110 - Bureau de vote 1110","896","7","504","11","493","15","3","300","6","18","144","7"
" 1111 - Bureau de vote 1111","825","4","339","5","334","15","4","266","2","5","31","11"
" 1112 - Bureau de vote 1112","801","10","422","8","414","19","5","237","3","19","123","8"
" 1113 - Bureau de vote 1113","959","10","545","10","535","13","2","303","3","30","178","6"
" 1114 - Bureau de vote 1114","727","6","380","3","377","16","2","237","4","15","99","4"
" 1115 - Bureau de vote 1115","852","8","538","9","529","19","5","268","5","37","190","5"
