"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","SARKOZY","HOLLANDE"
" 0922 - Bureau de vote 0922","1211","64","1052","47","1005","333","672"
" 0923 - Bureau de vote 0923","980","36","847","33","814","288","526"
" 0924 - Bureau de vote 0924","598","20","490","20","470","164","306"
" 1001 - Bureau de vote 1001","893","33","688","35","653","237","416"
" 1002 - Bureau de vote 1002","805","30","664","18","646","236","410"
" 1003 - Bureau de vote 1003","837","12","599","27","572","112","460"
" 1004 - Bureau de vote 1004","923","29","745","34","711","227","484"
" 1005 - Bureau de vote 1005","716","32","607","19","588","188","400"
" 1006 - Bureau de vote 1006","697","27","590","23","567","198","369"
" 1007 - Bureau de vote 1007","749","37","613","24","589","222","367"
" 1008 - Bureau de vote 1008","666","37","556","22","534","202","332"
" 1009 - Bureau de vote 1009","562","26","458","14","444","149","295"
" 1101 - Bureau de vote 1101","687","33","526","22","504","142","362"
" 1102 - Bureau de vote 1102","960","42","745","39","706","176","530"
" 1103 - Bureau de vote 1103","796","55","653","17","636","226","410"
" 1104 - Bureau de vote 1104","802","45","664","34","630","252","378"
" 1105 - Bureau de vote 1105","694","36","589","32","557","247","310"
" 1106 - Bureau de vote 1106","629","35","532","20","512","214","298"
" 1107 - Bureau de vote 1107","743","33","604","17","587","205","382"
" 1108 - Bureau de vote 1108","682","8","380","21","359","53","306"
" 1109 - Bureau de vote 1109","538","18","365","14","351","95","256"
" 1110 - Bureau de vote 1110","861","29","651","22","629","236","393"
" 1111 - Bureau de vote 1111","723","18","462","14","448","66","382"
" 1112 - Bureau de vote 1112","763","36","594","24","570","196","374"
" 1113 - Bureau de vote 1113","974","56","789","40","749","337","412"
" 1114 - Bureau de vote 1114","716","25","559","24","535","157","378"
" 1115 - Bureau de vote 1115","828","56","698","26","672","307","365"
