BUREAU_DE_VOTE,IDBUREAU,INSCRITS,PROCURATIONS,VOTANTS,NULS,EXPRIMES,FOURAGE,COMBARNOUS,AYRAULT,BREUS,BLINEAU,JOZAN,DEFRANCE,FOURAGE_P,COMBARNOUS_P,AYRAULT_P,BREUS_P,BLINEAU_P,JOZAN_P,DEFRANCE_P
 0611 - Bureau de vote 0611,0611,1023,26,600,8,592,10,12,193,5,55,316,1,1.6891891892,2.027027027,32.6013513514,0.8445945946,9.2905405405,53.3783783784,0.1689189189
 0612 - Bureau de vote 0612,0612,935,22,577,9,568,19,7,202,5,69,261,5,3.3450704225,1.2323943662,35.5633802817,0.8802816901,12.1478873239,45.9507042254,0.8802816901
 0613 - Bureau de vote 0613,0613,984,12,566,12,554,13,4,227,4,42,259,5,2.3465703971,0.7220216606,40.9747292419,0.7220216606,7.5812274368,46.7509025271,0.9025270758
 0614 - Bureau de vote 0614,0614,933,13,559,16,543,10,9,188,5,47,279,5,1.8416206262,1.6574585635,34.6224677716,0.9208103131,8.6556169429,51.3812154696,0.9208103131
 0615 - Bureau de vote 0615,0615,863,21,531,14,517,21,6,280,2,35,170,3,4.0618955513,1.1605415861,54.1586073501,0.3868471954,6.7698259188,32.8820116054,0.580270793
 0616 - Bureau de vote 0616,0616,1080,3,587,14,573,17,10,333,8,46,154,5,2.9668411867,1.7452006981,58.1151832461,1.3961605585,8.0279232112,26.8760907504,0.872600349
 0617 - Bureau de vote 0617,0617,977,18,587,11,576,15,11,266,2,53,225,4,2.6041666667,1.9097222222,46.1805555556,0.3472222222,9.2013888889,39.0625,0.6944444444
 0618 - Bureau de vote 0618,0618,930,13,535,5,530,10,10,303,3,28,168,8,1.8867924528,1.8867924528,57.1698113208,0.5660377358,5.2830188679,31.6981132075,1.5094339623
 0619 - Bureau de vote 0619,0619,871,10,563,17,546,23,11,317,12,44,138,1,4.2124542125,2.0146520147,58.0586080586,2.1978021978,8.0586080586,25.2747252747,0.1831501832
 0701 - Bureau de vote 0701,0701,801,12,405,4,401,14,3,224,2,39,113,6,3.4912718204,0.7481296758,55.8603491272,0.4987531172,9.7256857855,28.1795511222,1.4962593516
 0702 - Bureau de vote 0702,0702,1090,8,567,7,560,22,6,389,10,26,87,20,3.9285714286,1.0714285714,69.4642857143,1.7857142857,4.6428571429,15.5357142857,3.5714285714
 0703 - Bureau de vote 0703,0703,1013,10,603,11,592,21,2,345,7,55,151,11,3.5472972973,0.3378378378,58.277027027,1.1824324324,9.2905405405,25.5067567568,1.8581081081
 0704 - Bureau de vote 0704,0704,741,5,338,2,336,14,4,245,4,12,45,12,4.1666666667,1.1904761905,72.9166666667,1.1904761905,3.5714285714,13.3928571429,3.5714285714
 0705 - Bureau de vote 0705,0705,745,8,453,7,446,18,3,303,2,19,92,9,4.0358744395,0.6726457399,67.9372197309,0.4484304933,4.2600896861,20.6278026906,2.0179372197
 0706 - Bureau de vote 0706,0706,1084,3,422,5,417,22,2,318,7,13,48,7,5.2757793765,0.479616307,76.2589928058,1.6786570743,3.1175059952,11.5107913669,1.6786570743
 0707 - Bureau de vote 0707,0707,1311,12,559,7,552,28,3,360,8,33,100,20,5.0724637681,0.5434782609,65.2173913043,1.4492753623,5.9782608696,18.115942029,3.6231884058
 0708 - Bureau de vote 0708,0708,833,2,385,3,382,15,1,243,7,17,89,10,3.9267015707,0.2617801047,63.612565445,1.832460733,4.4502617801,23.2984293194,2.6178010471
