X,Y,Z,IDOBJ,IDBURO,NUMERO,LIEU_VOT,LIEU_NOM,LIEU_SITE,LIEU_ADRES,CODCOM,COMMUNE,inscrits,2444004040,24440040_1,24440040_2,24440040_3,24440040_4,24440040_5,24440040_6,24440040_7,24440040_8,24440040_9,2444004010,2444004011,2444004012,2444004013,2444004014,2444004015,2444004016,2444004017,2444004018,2444004019
-1.537946202976396,47.219969501522662,0, 1090223,0223,23,12,Stalingrad,Ecole Elementaire,12 Boulevard Stalingrad,  440109,Nantes,572,0223 - Bureau de vote 0223,1063,7,572,9,563,34,17,337,6,29,122,18,6.0390763766,3.0195381883,59.8579040853,1.0657193606,5.1509769094,21.6696269982,3.1971580817
-1.535382321163026,47.221674055061399,0, 1090224,0224,24,12,Stalingrad,Ecole Elementaire,12 Boulevard Stalingrad,  440109,Nantes,438,0224 - Bureau de vote 0224,844,13,438,8,430,25,20,261,5,21,86,12,5.8139534884,4.6511627907,60.6976744186,1.1627906977,4.8837209302,20,2.7906976744
-1.555082521238177,47.218237984485292,0, 1090301,0301, 1,14,Molire,Ecole Maternelle,2 Rue du Cheval Blanc,  440109,Nantes,422,0301 - Bureau de vote 0301,824,11,422,5,417,34,16,227,4,24,107,5,8.1534772182,3.8369304556,54.4364508393,0.9592326139,5.7553956835,25.6594724221,1.1990407674
-1.552483296975854,47.215687197689491,0, 1090302,0302, 2,14,Molire,Ecole Maternelle,2 Rue du Cheval Blanc,  440109,Nantes,358,0302 - Bureau de vote 0302,809,16,358,8,350,20,36,187,4,27,71,5,5.7142857143,10.2857142857,53.4285714286,1.1428571429,7.7142857143,20.2857142857,1.4285714286
-1.557487751978617,47.214732237617632,0, 1090303,0303, 3,14,Molire,Ecole Maternelle,2 Rue du Cheval Blanc,  440109,Nantes,421,0303 - Bureau de vote 0303,812,8,421,12,409,21,22,217,1,28,117,3,5.1344743276,5.3789731051,53.0562347188,0.2444987775,6.8459657702,28.6063569682,0.7334963325
-1.554740385090499,47.215586874250995,0, 1090304,0304, 4,14,Molire,Ecole Maternelle,2 Rue du Cheval Blanc,  440109,Nantes,360,0304 - Bureau de vote 0304,677,11,360,4,356,13,30,175,3,23,106,6,3.6516853933,8.4269662921,49.1573033708,0.8426966292,6.4606741573,29.7752808989,1.6853932584
-1.559772935658132,47.214555608380763,0, 1090305,0305, 5,15,Chne d'Aron,Ecole Elementaire,3 Rue de l'Hronnire,  440109,Nantes,363,0305 - Bureau de vote 0305,731,7,363,8,355,17,14,173,1,25,124,1,4.7887323944,3.9436619718,48.7323943662,0.2816901408,7.0422535211,34.9295774648,0.2816901408
-1.562129090383399,47.212144326890282,0, 1090306,0306, 6,15,Chne d'Aron,Ecole Elementaire,3 Rue de l'Hronnire,  440109,Nantes,510,0306 - Bureau de vote 0306,971,23,510,5,505,13,15,217,4,33,223,0,2.5742574257,2.9702970297,42.9702970297,0.7920792079,6.5346534653,44.1584158416,0
-1.564925560812284,47.210291837739256,0, 1090307,0307, 7,15,Chne d'Aron,Ecole Elementaire,3 Rue de l'Hronnire,  440109,Nantes,483,0307 - Bureau de vote 0307,845,9,483,4,479,21,13,229,5,30,177,4,4.3841336117,2.7139874739,47.8079331942,1.0438413361,6.2630480167,36.9519832985,0.8350730689
-1.549846614637417,47.213614111519014,0, 1090308,0308, 8,16,Emile Phant,Ecole Elementaire,24 Rue Emile Phant,  440109,Nantes,566,0308 - Bureau de vote 0308,1120,4,566,6,560,30,46,317,8,52,95,12,5.3571428571,8.2142857143,56.6071428571,1.4285714286,9.2857142857,16.9642857143,2.1428571429
-1.555829899762303,47.210329977710103,0, 1090309,0309, 9,16,Emile Phant,Ecole Elementaire,24 Rue Emile Phant,  440109,Nantes,425,0309 - Bureau de vote 0309,801,21,425,2,423,14,21,221,0,23,140,4,3.3096926714,4.9645390071,52.2458628842,0,5.4373522459,33.0969267139,0.9456264775
-1.544204075011568,47.211760609156698,0, 1090310,0310,10,16,Emile Phant,Ecole Elementaire,24 Rue Emile Phant,  440109,Nantes,541,0310 - Bureau de vote 0310,1041,9,541,5,536,20,17,334,4,29,122,10,3.7313432836,3.171641791,62.3134328358,0.7462686567,5.4104477612,22.7611940299,1.8656716418
-1.522668836844343,47.211898424534304,0, 1090311,0311,11,17,Louise Michel,Ecole Maternelle,21 Rue Paul Ramadier,  440109,Nantes,436,0311 - Bureau de vote 0311,881,4,436,16,420,9,6,285,4,20,87,9,2.1428571429,1.4285714286,67.8571428571,0.9523809524,4.7619047619,20.7142857143,2.1428571429
