IDBURO,NUMERO,LIEU_VOT,LIEU_NOM,LIEU_SITE,LIEU_ADRES,CODCOM,COMMUNE,inscrits,X,Y
0917,17,40,Maurice Mac,Ecole Maternelle,22 Rue du Pontereau,  440109,Nantes,487,-1.505849707763168,47.22894879400355
0918,18,41,Gay Lussac,Ecole Primaire,13 Rue Gay Lussac,  440109,Nantes,624,-1.522262500642647,47.227383141987929
0919,19,41,Gay Lussac,Ecole Primaire,13 Rue Gay Lussac,  440109,Nantes,541,-1.519997962354459,47.230041671418114
0920,20,41,Gay Lussac,Ecole Primaire,13 Rue Gay Lussac,  440109,Nantes,453,-1.51491703501726,47.229948108858856
0921,21,41,Gay Lussac,Ecole Primaire,13 Rue Gay Lussac,  440109,Nantes,614,-1.517965134049098,47.234333599655905
0922,22,41,Gay Lussac,Ecole Primaire,13 Rue Gay Lussac,  440109,Nantes,765,-1.514181066337787,47.222322717334904
0923,23,40,Maurice Mac,Ecole Maternelle,22 Rue du Pontereau,  440109,Nantes,465,-1.514783337607816,47.243368346481162
0924,24,40,Maurice Mac,Ecole Maternelle,22 Rue du Pontereau,  440109,Nantes,290,-1.509565159413366,47.242586156473699
1001, 1,43,Ledru Rollin,Ecole Elementaire,47 Rue Ledru Rollin,  440109,Nantes,452,-1.537816916235879,47.198234172827419
1002, 2,43,Ledru Rollin,Ecole Elementaire,47 Rue Ledru Rollin,  440109,Nantes,470,-1.537176311541488,47.193922349450141
1003, 3,42,Jacques Tati,Ecole Primaire,Rue de Saint Jean de Luz,  440109,Nantes,397,-1.527462645826656,47.194761550574498
1004, 4,43,Ledru Rollin,Ecole Elementaire,47 Rue Ledru Rollin,  440109,Nantes,474,-1.531014314196204,47.193514547907348
1005, 5,43,Ledru Rollin,Ecole Elementaire,47 Rue Ledru Rollin,  440109,Nantes,434,-1.530420947755082,47.190123558393758
1006, 6,43,Ledru Rollin,Ecole Elementaire,47 Rue Ledru Rollin,  440109,Nantes,395,-1.525226289628072,47.188749288785957
1007, 7,43,Ledru Rollin,Ecole Elementaire,47 Rue Ledru Rollin,  440109,Nantes,401,-1.524595812676848,47.183459778649137
1008, 8,43,Ledru Rollin,Ecole Elementaire,47 Rue Ledru Rollin,  440109,Nantes,402,-1.519347020026906,47.18684948231131
1009, 9,43,Ledru Rollin,Ecole Elementaire,47 Rue Ledru Rollin,  440109,Nantes,285,-1.5328159384884,47.187145539121268
1101, 1,44,Lucie Aubrac,Ecole Maternelle,47 Boulevard Jean Moulin,  440109,Nantes,377,-1.59947804860401,47.207369852175624
1102, 2,44,Lucie Aubrac,Ecole Maternelle,47 Boulevard Jean Moulin,  440109,Nantes,473,-1.600576407802146,47.209732502726709
1103, 3,44,Lucie Aubrac,Ecole Maternelle,47 Boulevard Jean Moulin,  440109,Nantes,497,-1.591053142915973,47.212207295555785
1104, 4,45,Contrie,Ecole Elementaire,19 Rue de la Petite Reine,  440109,Nantes,501,-1.601848144228781,47.215109376596907
1105, 5,45,Contrie,Ecole Elementaire,19 Rue de la Petite Reine,  440109,Nantes,409,-1.589115540437174,47.215007329682756
1106, 6,45,Contrie,Ecole Elementaire,19 Rue de la Petite Reine,  440109,Nantes,413,-1.594739778282182,47.2152938718773
1107, 7,45,Contrie,Ecole Elementaire,19 Rue de la Petite Reine,  440109,Nantes,456,-1.603563653678346,47.212166082874312
1108, 8,46,Dervallires Chzine - SEQUOIA,Ecole Elmentaire,1 Rue Auguste Lepre,  440109,Nantes,240,-1.5983969975337,47.226649276108553
